Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2017.0,Beno Udrih,34.0,190.0,92.0,Slovenia,Celje,Unknown,DET,PG,25000.0,39.0,0.0,227.0,560.0,16.1,0.17300000000000001,0.8,0.5,1.3,-0.1,92.0,197.0,11.0,32.0,81.0,165.0,32.0,34.0,6.0,51.0,57.0,131.0,13.0,0.0,37.0,29.0
2017.0,Anderson Varejao,34.0,208.0,123.0,Brazil,Santa Teresa,Unknown,GSW,C,1913345.0,14.0,1.0,18.0,92.0,9.4,0.7859999999999999,0.0,0.1,0.2,0.0,5.0,14.0,0.0,0.0,5.0,14.0,8.0,11.0,12.0,15.0,27.0,10.0,3.0,3.0,8.0,16.0
2017.0,Sasha Vujacic,32.0,201.0,88.0,Slovenia,Maribor,Unknown,NYK,SG,1410598.0,42.0,4.0,124.0,408.0,8.6,0.17600000000000002,-0.1,0.2,0.1,-0.2,42.0,136.0,23.0,74.0,19.0,62.0,17.0,24.0,12.0,47.0,59.0,52.0,13.0,2.0,16.0,38.0
2017.0,Alan Anderson,34.0,198.0,99.0,Minnesota,Minneapolis,Michigan State University,LAC,SF,1315448.0,30.0,0.0,86.0,308.0,5.0,0.2,0.0,0.1,0.1,-0.2,30.0,80.0,14.0,44.0,16.0,36.0,12.0,16.0,3.0,21.0,24.0,11.0,3.0,0.0,7.0,35.0
2017.0,Brandon Bass,31.0,203.0,113.0,Louisiana,Baton Rouge,Louisiana State University,LAC,PF,1551659.0,52.0,0.0,292.0,577.0,19.7,0.473,1.6,0.6,2.2,0.2,107.0,186.0,1.0,3.0,106.0,183.0,77.0,88.0,43.0,86.0,129.0,21.0,14.0,11.0,29.0,45.0
2017.0,Andrew Bogut,32.0,213.0,117.0,Australia,Melbourne,University of Utah,TOT,C,2328652.0,27.0,21.0,79.0,583.0,9.3,0.136,-0.3,1.0,0.7,0.3,38.0,81.0,0.0,1.0,38.0,80.0,3.0,11.0,56.0,162.0,218.0,49.0,13.0,25.0,43.0,86.0
2017.0,Andrew Bogut,32.0,213.0,117.0,Australia,Melbourne,University of Utah,DAL,C,2328652.0,26.0,21.0,79.0,582.0,9.4,0.136,-0.3,1.0,0.7,0.3,38.0,81.0,0.0,1.0,38.0,80.0,3.0,11.0,56.0,162.0,218.0,49.0,13.0,25.0,43.0,84.0
2017.0,Andrew Bogut,32.0,213.0,117.0,Australia,Melbourne,University of Utah,CLE,C,2328652.0,1.0,0.0,0.0,1.0,-35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2017.0,Jose Calderon,35.0,190.0,90.0,Spain,Villanueva de la Serena,Unknown,TOT,PG,2328652.0,41.0,13.0,141.0,539.0,8.9,0.09,0.0,0.3,0.3,-0.4,55.0,134.0,20.0,64.0,35.0,70.0,11.0,12.0,15.0,59.0,74.0,88.0,11.0,1.0,41.0,36.0
2017.0,Jose Calderon,35.0,190.0,90.0,Spain,Villanueva de la Serena,Unknown,LAL,PG,2328652.0,24.0,11.0,80.0,292.0,9.1,0.052000000000000005,-0.1,0.1,0.0,-0.2,32.0,77.0,12.0,34.0,20.0,43.0,4.0,4.0,8.0,34.0,42.0,51.0,7.0,1.0,26.0,22.0
2017.0,Jose Calderon,35.0,190.0,90.0,Spain,Villanueva de la Serena,Unknown,ATL,PG,2328652.0,17.0,2.0,61.0,247.0,8.7,0.14,0.1,0.2,0.3,-0.1,23.0,57.0,8.0,30.0,15.0,27.0,7.0,8.0,7.0,25.0,32.0,37.0,4.0,0.0,15.0,14.0
2017.0,Monta Ellis,31.0,190.0,83.0,Mississippi,Jackson,Unknown,IND,SG,2245400.0,74.0,33.0,630.0,1998.0,10.0,0.23,-0.7,1.7,1.1,-0.2,247.0,557.0,43.0,135.0,204.0,422.0,93.0,128.0,19.0,185.0,204.0,236.0,79.0,27.0,135.0,149.0
2017.0,Raymond Felton,32.0,185.0,92.0,South Carolina,Marion,University of North Carolina,LAC,PG,2328652.0,80.0,11.0,538.0,1700.0,10.9,0.125,0.2,1.8,2.0,0.5,221.0,514.0,46.0,144.0,175.0,370.0,50.0,64.0,33.0,184.0,217.0,191.0,67.0,22.0,83.0,125.0
2017.0,Channing Frye,33.0,211.0,115.0,New York,White Plains,University of Arizona,CLE,C,7420912.0,74.0,15.0,676.0,1398.0,15.6,0.142,2.3,1.4,3.7,0.5,238.0,520.0,137.0,335.0,101.0,185.0,63.0,74.0,37.0,253.0,290.0,45.0,33.0,37.0,53.0,138.0
2017.0,Gerald Green,31.0,201.0,92.0,Texas,Houston,Unknown,BOS,SF,947248.0,47.0,0.0,262.0,538.0,12.0,0.177,0.1,0.4,0.6,-0.4,95.0,232.0,39.0,111.0,56.0,121.0,33.0,41.0,17.0,68.0,85.0,33.0,9.0,7.0,25.0,48.0
2017.0,Jarrett Jack,33.0,190.0,90.0,Maryland,Fort Washington,Georgia Institute of Technology,NOP,PG,2328652.0,2.0,0.0,6.0,33.0,7.7,0.667,0.0,0.0,0.0,-0.1,2.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,4.0
2017.0,Amir Johnson,29.0,206.0,108.0,California,Los Angeles,Unknown,BOS,PF,11000000.0,80.0,77.0,520.0,1608.0,15.0,0.27,2.9,2.1,5.0,1.7,213.0,370.0,27.0,66.0,186.0,304.0,67.0,100.0,117.0,248.0,365.0,140.0,52.0,62.0,77.0,211.0
2017.0,David Lee,33.0,201.0,102.0,California,Modesto,University of San Francisco,SAS,PF,1578813.0,79.0,10.0,576.0,1477.0,18.4,0.26899999999999996,3.2,2.5,5.7,1.9,248.0,420.0,0.0,0.0,248.0,420.0,80.0,113.0,148.0,292.0,440.0,124.0,31.0,40.0,82.0,125.0
2017.0,C.J. Miles,29.0,185.0,79.0,Unknown,Unknown,Unknown,IND,SF,7936509.0,76.0,29.0,815.0,1776.0,13.7,0.14400000000000002,2.7,1.4,4.0,0.7,281.0,647.0,169.0,409.0,112.0,238.0,84.0,93.0,30.0,199.0,229.0,48.0,46.0,25.0,40.0,151.0
2017.0,Chris Paul,31.0,183.0,79.0,North Carolina,Winston-Salem,Wake Forest University,LAC,PG,24599495.0,61.0,61.0,1104.0,1921.0,26.2,0.331,8.0,2.6,10.6,5.2,374.0,785.0,124.0,302.0,250.0,483.0,232.0,260.0,41.0,263.0,304.0,563.0,118.0,8.0,147.0,146.0
2017.0,Ronnie Price,33.0,188.0,86.0,Texas,Friendswood,Utah Valley State College,PHO,PG,2442455.0,14.0,0.0,14.0,134.0,5.9,0.16699999999999998,-0.1,0.1,0.0,0.0,4.0,24.0,3.0,17.0,1.0,7.0,3.0,4.0,3.0,8.0,11.0,18.0,11.0,1.0,3.0,14.0
2017.0,Deron Williams,32.0,190.0,90.0,West Virginia,Parkersburg,University of Illinois at Urbana-Champaign,TOT,PG,5500000.0,64.0,44.0,701.0,1657.0,14.0,0.182,1.5,0.9,2.4,-0.1,263.0,600.0,85.0,234.0,178.0,366.0,90.0,109.0,14.0,133.0,147.0,360.0,31.0,8.0,138.0,138.0
2017.0,Deron Williams,32.0,190.0,90.0,West Virginia,Parkersburg,University of Illinois at Urbana-Champaign,DAL,PG,5500000.0,40.0,40.0,522.0,1171.0,15.0,0.185,1.1,0.7,1.8,0.2,195.0,453.0,63.0,181.0,132.0,272.0,69.0,84.0,13.0,89.0,102.0,274.0,25.0,2.0,98.0,96.0
2017.0,Deron Williams,32.0,190.0,90.0,West Virginia,Parkersburg,University of Illinois at Urbana-Champaign,CLE,PG,5500000.0,24.0,4.0,179.0,486.0,11.4,0.17,0.4,0.2,0.6,-0.3,68.0,147.0,22.0,53.0,46.0,94.0,21.0,25.0,1.0,44.0,45.0,86.0,6.0,6.0,40.0,42.0
2017.0,Lou Williams,30.0,206.0,90.0,Florida,Ocala,Stetson University,TOT,SG,7000000.0,81.0,1.0,1421.0,1994.0,21.4,0.45799999999999996,5.1,1.0,6.1,1.4,428.0,998.0,163.0,446.0,265.0,552.0,402.0,457.0,26.0,176.0,202.0,239.0,80.0,19.0,160.0,92.0
2017.0,Lou Williams,30.0,206.0,90.0,Florida,Ocala,Stetson University,LAL,SG,7000000.0,58.0,1.0,1078.0,1403.0,23.9,0.469,4.3,0.6,4.9,1.5,326.0,734.0,122.0,317.0,204.0,417.0,304.0,344.0,14.0,118.0,132.0,183.0,65.0,10.0,120.0,67.0
2017.0,Lou Williams,30.0,206.0,90.0,Florida,Ocala,Stetson University,HOU,SG,7000000.0,23.0,0.0,343.0,591.0,15.4,0.428,0.8,0.4,1.2,-0.1,102.0,264.0,41.0,129.0,61.0,135.0,98.0,113.0,12.0,58.0,70.0,56.0,15.0,9.0,40.0,25.0
